City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Busselton,AU,72.0,clear sky,-33.65,115.3333,Observatory Guest House
4,Cockburn Town,TC,73.62,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
7,Sao Joao Da Barra,BR,70.03,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
12,Road Town,VG,75.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
14,Avarua,CK,71.6,scattered clouds,-21.2078,-159.775,Paradise Inn
18,Vao,NC,75.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
19,Rikitea,PF,78.12,light rain,-23.1203,-134.9692,Pension Maro'i
30,Butaritari,KI,81.32,moderate rain,3.0707,172.7902,Isles Sunset Lodge
35,Mabaruma,GY,72.34,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
39,Port Alfred,ZA,72.7,scattered clouds,-33.5906,26.891,The Halyards Hotel
42,Ugoofaaru,MV,83.7,broken clouds,5.6667,73.0,Ungoofaaru Inn
48,Isangel,VU,80.4,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
50,Seydi,TM,73.36,clear sky,39.4816,62.9137,Çagalar Dünýäsi
57,Biak,ID,76.5,broken clouds,-0.9131,122.8766,Penginapan Kim
59,Puerto Escondido,MX,79.38,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
62,Bengkulu,ID,84.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Phek,IN,79.97,overcast clouds,25.6667,94.5,Prayer Centre
70,Toamasina,MG,82.4,broken clouds,-18.1667,49.3833,Hotel H1
72,Atuona,PF,80.8,scattered clouds,-9.8,-139.0333,Villa Enata
74,Jawa,JO,75.2,clear sky,31.8525,35.9393,دار الحاج عبدالله ابو صعيليك واولاده
78,Guayaramerin,BO,71.76,overcast clouds,-10.8368,-65.3614,Hostal Funf
79,Hilo,US,71.6,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
93,Puerto Ayora,EC,75.07,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
98,Ewa Beach,US,73.4,few clouds,21.3156,-158.0072,Uncle Junior Robert
102,Victoria,HK,73.99,broken clouds,22.2855,114.1577,Mini Hotel Central
106,Port-Gentil,GA,84.2,scattered clouds,-0.7193,8.7815,Fengshui Residence
107,Jaque,PA,78.06,overcast clouds,7.5175,-78.1703,Imbu Bua Lodge
108,Ankang,CN,75.85,overcast clouds,32.68,109.0172,安琪酒店
110,Hithadhoo,MV,82.44,scattered clouds,-0.6,73.0833,Scoop Guest House
111,Ballina,AU,71.6,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
116,Bloemfontein,ZA,71.6,clear sky,-29.1211,26.214000000000002,aha Bloemfontein Hotel
120,Cap Malheureux,MU,84.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
122,Arraial Do Cabo,BR,74.25,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
123,Dhidhdhoo,MV,84.33,few clouds,6.8833,73.1,Dhidhoo beach
130,Vaini,TO,73.4,few clouds,-21.2,-175.2,Keleti Beach Resort
133,Kruisfontein,ZA,70.75,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
138,Hanzhong,CN,71.17,overcast clouds,33.0728,107.0303,Guorui Hotel
139,East London,ZA,73.4,few clouds,-33.0153,27.9116,Tu Casa
142,Sola,VU,82.85,broken clouds,-13.8833,167.55,Leumerus Bungalows
146,Santa Rita,BR,75.2,few clouds,-7.1139,-34.9781,Infinity Motel
148,Atar,MR,73.13,clear sky,20.5169,-13.0499,Oumou Elghoura
150,Grand Gaube,MU,84.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
153,Songkhla,TH,77.0,moderate rain,6.8333,100.6667,น.ส ซัลมา สาแม็ง
156,Qingyuan,CN,77.0,light rain,23.7,113.0333,Guojin Commercial Hotel
158,Mahebourg,MU,84.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
163,Vanimo,PG,80.92,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
165,Kapaa,US,73.4,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
166,Cabo San Lucas,MX,75.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
168,Cabedelo,BR,75.2,few clouds,-6.9811,-34.8339,Hotel Pigalle
175,Shache,CN,71.42,overcast clouds,38.4167,77.2406,Delong Hotel
177,Owando,CG,81.86,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
178,Namatanai,PG,80.47,broken clouds,-3.6667,152.4333,Namatanai Hotel
179,Pandan,PH,81.23,overcast clouds,14.0453,124.1694,Bonifacio Lodge
189,Papara,BR,78.8,broken clouds,-3.9839,-38.7273,Romin
190,Monrovia,LR,75.2,mist,6.3005,-10.7969,Sunset Inn
199,Alyangula,AU,84.2,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
200,Faya,SA,78.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
204,Kavieng,PG,82.36,broken clouds,-2.5744,150.7967,Nusa Island Retreat
206,Ixtapa,MX,73.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
207,Qom,IR,78.57,clear sky,34.6401,50.8764,Qom Hotel
212,Kutum,SD,84.9,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
217,Yeppoon,AU,75.2,clear sky,-23.1333,150.7333,Villa Mar Colina
220,Mana,GF,76.98,overcast clouds,5.6592,-53.7767,LE SAMANA
224,Poum,NC,79.25,broken clouds,-20.2333,164.0167,Gîte kajeon
226,Faanui,PF,82.49,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
230,Gizo,SB,83.48,overcast clouds,-8.103,156.8419,Imagination Island
234,Labuhan,ID,84.04,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
235,Souillac,MU,84.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
237,Kieta,PG,80.01,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
238,Emerald,AU,82.4,clear sky,-23.5333,148.1667,The Irish Village
239,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
242,Padang,ID,81.77,light rain,-0.9492,100.3543,Mercure Padang
255,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
259,Pallasovka,RU,71.31,overcast clouds,50.05,46.8833,"Hotel ""Natalia"""
265,Willowmore,ZA,78.08,overcast clouds,-33.2926,23.4895,Jumper's Place
266,Umm Lajj,SA,80.29,clear sky,25.0213,37.2685,Moon light Furnished Units
271,Monkey Hill,KN,77.0,few clouds,17.3167,-62.7167,St. Kitts Marriott Resort & The Royal Beach Casino
272,San Andres,CO,80.6,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
276,Ginda,IN,81.21,scattered clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
283,Alice Springs,AU,77.0,few clouds,-23.7,133.8833,Desert Palms Alice Springs
286,Santa Marta,CO,82.99,overcast clouds,11.2408,-74.199,Casa de Isabella
287,Kralendijk,BQ,80.6,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
290,Sarangani,PH,83.61,broken clouds,5.4033,125.4636,Ballistic Islet
291,Geraldton,AU,82.4,clear sky,-28.7667,114.6,Broadwater Mariner Resort
296,Mumbwa,ZM,76.21,scattered clouds,-14.9783,27.0619,Mumbwa Motel
303,Voh,NC,74.82,broken clouds,-20.9667,164.7,Le gîte du Koniambo
310,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
315,Victoria Point,AU,73.0,clear sky,-27.5833,153.3,Bay Retreat Motel
318,Fuerte Olimpo,PY,71.98,clear sky,-21.0415,-57.8738,Hospedaje DAMI
325,Wucheng,CN,71.01,overcast clouds,29.6008,118.175,Xiuwu Restaurant
328,Martapura,ID,82.4,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
331,Along,IN,77.59,overcast clouds,28.1667,94.7667,Hotel West
336,Kavaratti,IN,84.36,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
343,Zhob,PK,79.93,overcast clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
344,Acapulco,MX,76.59,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
345,Petatlan,MX,72.01,clear sky,17.5167,-101.2667,Hotel California Petatlán
346,Sinnamary,GF,77.07,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
348,Natal,BR,75.2,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
351,Riyadh,SA,80.6,overcast clouds,24.6877,46.7219,InterContinental Riyadh
355,Maraba,BR,75.2,heavy intensity rain,-5.3686,-49.1178,Hotel Del Principe
361,Ayame,CI,84.11,overcast clouds,5.6083,-3.1563,Hotel Bossan
362,Tambun,ID,82.4,light rain,-6.2641,107.0712,@HOM Premiere Tambun
363,Boa Vista,BR,78.8,light rain,2.8197,-60.6733,Aipana Plaza Hotel
364,Ca Mau,VN,84.69,moderate rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
366,Caravelas,BR,76.14,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
371,Sambava,MG,83.26,overcast clouds,-14.2667,50.1667,Melrose
377,Gat,IL,78.01,clear sky,31.61,34.7642,OlusHome
382,Pine Castle,US,71.6,clear sky,28.471999999999998,-81.3679,Best Western Airport Inn & Suites
386,Palauig,PH,83.79,light rain,15.435,119.9045,Myhousebythesea
388,Miri,MY,84.2,light rain,4.4148,114.0089,"Mega Hotel, Miri"
392,Lorengau,PG,80.87,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
393,Menongue,AO,76.21,scattered clouds,-14.6585,17.691,Ritz Lauca
399,Nioaque,BR,72.72,broken clouds,-21.1353,-55.83,Nioaque Novo Hotel
402,Rusape,ZW,74.21,clear sky,-18.5278,32.1284,Surrey Lodge
403,Tautira,PF,80.6,broken clouds,-17.7333,-149.15,Pension Oaoa
407,Soyo,AO,77.0,broken clouds,-6.1349,12.3689,Hotel Mpampa
408,Aksu,CN,70.5,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
410,San-Pedro,CI,80.76,overcast clouds,4.7485,-6.6363,Hotel Maria
413,Kisangani,CD,84.83,overcast clouds,0.5167,25.2,Grand Ramela Hotel
415,Sao Filipe,CV,74.5,broken clouds,14.8961,-24.4956,Tortuga B&B
423,Sulangan,PH,83.64,heavy intensity rain,11.1373,123.7228,Maia's Beach Resort
426,Saldanha,ZA,80.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
427,Vieux-Habitants,GP,77.0,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
429,Barinas,VE,72.1,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
433,Yarim,YE,71.8,clear sky,14.298,44.3779,وليد المسوري ابو اسد
434,Buraydah,SA,77.0,clear sky,26.326,43.975,فندق راحة السلام
437,Carutapera,BR,76.66,overcast clouds,-1.195,-46.02,Lidera
442,Basco,PH,78.71,broken clouds,20.4487,121.9702,Nathaniel's Lodge
444,Salinopolis,BR,79.02,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
448,Mayumba,GA,83.84,light rain,-3.432,10.6554,LIKWALE LODGE
452,Kirakira,SB,80.04,overcast clouds,-10.4544,161.9205,SanBiz Lodge
455,Tubuala,PA,77.0,scattered clouds,9.5167,-79.0333,Río Nabagana
465,Vila Velha,BR,71.6,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
466,Lakatoro,VU,81.57,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
467,Yangjiang,CN,80.06,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
471,Harper,LR,81.5,moderate rain,4.375,-7.7169,Screensaver
475,Zhanaozen,KZ,70.25,broken clouds,43.3,52.8,K.korabay 28A
479,Kandrian,PG,77.05,light rain,-6.2167,149.55,Kandrian Station
485,Turan,VN,84.2,few clouds,16.0678,108.2208,Sun River Hotel
489,Mount Pleasant,US,71.6,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
492,Sabha,LY,82.11,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
499,Jacareacanga,BR,72.34,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
504,Makakilo City,US,73.4,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
510,Labrea,BR,72.34,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
517,Zaoyang,CN,72.18,overcast clouds,32.1272,112.7542,Shanghai Hotel
518,Bambous Virieux,MU,84.2,light rain,-20.3428,57.7575,Casa Tia Villa
